state_fips,name,rate_raw,ci_lo,ci_hi,count_raw,trend,rate,avg_annual_count,status,title,site,site_code
20000,Kansas,136.5,133.9,139.1,2398,rising,136.5,2398,ok,"Breast (All Stages^), 2018-2022",breast,055
45000,South Carolina,135.7,133.9,137.5,4631,rising,135.7,4631,ok,"Breast (All Stages^), 2018-2022",breast,055
36000,New York,135.6,134.7,136.6,17327,rising,135.6,17327,ok,"Breast (All Stages^), 2018-2022",breast,055
17000,Illinois,135.5,134.3,136.7,10722,rising,135.5,10722,ok,"Breast (All Stages^), 2018-2022",breast,055
23000,Maine,134.7,131.2,138.2,1353,rising,134.7,1353,ok,"Breast (All Stages^), 2018-2022",breast,055
13000,Georgia,134.1,132.9,135.5,8576,rising,134.1,8576,ok,"Breast (All Stages^), 2018-2022",breast,055
08000,Colorado,134,132.2,135.8,4441,rising,134.0,4441,ok,"Breast (All Stages^), 2018-2022",breast,055
16000,Idaho,133.4,130.2,136.6,1446,rising,133.4,1446,ok,"Breast (All Stages^), 2018-2022",breast,055
39000,Ohio,133,131.8,134.2,10161,rising,133.0,10161,ok,"Breast (All Stages^), 2018-2022",breast,055
42000,Pennsylvania,132.4,131.2,133.5,11531,rising,132.4,11531,ok,"Breast (All Stages^), 2018-2022",breast,055
46000,South Dakota,132,127.4,136.7,692,stable,132.0,692,ok,"Breast (All Stages^), 2018-2022",breast,055
50000,Vermont,131.9,126.8,137.1,586,stable,131.9,586,ok,"Breast (All Stages^), 2018-2022",breast,055
22000,Louisiana,131.5,129.6,133.5,3753,rising,131.5,3753,ok,"Breast (All Stages^), 2018-2022",breast,055
41000,Oregon,131.4,129.4,133.4,3604,falling,131.4,3604,ok,"Breast (All Stages^), 2018-2022",breast,055
51000,Virginia,131.4,130.0,132.8,7023,rising,131.4,7023,ok,"Breast (All Stages^), 2018-2022",breast,055
21000,Kentucky,130.4,128.5,132.4,3718,rising,130.4,3718,ok,"Breast (All Stages^), 2018-2022",breast,055
26000,Michigan,130.4,129.1,131.7,8495,rising,130.4,8495,ok,"Breast (All Stages^), 2018-2022",breast,055
02900,Alaska,130.4,125.1,135.9,489,stable,130.4,489,ok,"Breast (All Stages^), 2018-2022",breast,055
38000,North Dakota,130.3,125.3,135.4,561,rising,130.3,561,ok,"Breast (All Stages^), 2018-2022",breast,055
31000,Nebraska,129.3,126.3,132.4,1478,stable,129.3,1478,ok,"Breast (All Stages^), 2018-2022",breast,055
