nct_id,cancer_type,cancer_type_label,multi_subtype,categories_matched,generic_listed,source
NCT06656494,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;mds_mpn,0,conditions
NCT03816345,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT05377905,melanoma_skin,Melanoma & skin,,melanoma_skin,0,conditions
NCT06768905,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT07317505,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT06313502,myeloma,Myeloma & plasma cell,,myeloma,0,conditions
NCT02727803,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;lymphoma;mds_mpn;myeloma,0,conditions
NCT05168566,lung,Lung & thoracic,,lung,0,conditions
NCT06712745,lung,Lung & thoracic,,lung,1,conditions
NCT06120283,breast,Breast,,breast,1,conditions
NCT04342429,lung,Lung & thoracic,,lung,0,conditions
NCT04998669,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT06351631,mds_mpn,MDS & MPN,,mds_mpn,0,conditions
NCT04936529,other_named,Other named cancer,,other_named,0,conditions
NCT06672575,brain_cns,Brain & CNS,,brain_cns,0,conditions
NCT04928677,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT07288177,lung,Lung & thoracic,,lung,0,conditions
NCT05843253,brain_cns,Brain & CNS,,brain_cns,0,conditions
NCT07365319,lung,Lung & thoracic,,lung,0,conditions
NCT07069595,breast,Breast,,breast,0,conditions
NCT04020575,breast,Breast,,breast,0,conditions
NCT05903092,lung,Lung & thoracic,,lung,0,conditions
NCT03594630,colorectal,Colorectal,,colorectal,0,conditions
NCT07560865,brain_cns,Brain & CNS,,brain_cns,0,conditions
NCT06843434,colorectal,Colorectal,,colorectal,0,conditions
NCT07149857,myeloma,Myeloma & plasma cell,,myeloma,0,conditions
NCT05245500,multi,Multiple cancer types / basket or umbrella,multiple named cancers,lung;pancreatic;sarcoma,1,conditions
NCT06029309,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT07504796,melanoma_skin,Melanoma & skin,,melanoma_skin,0,conditions
NCT06377540,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT03314974,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;lymphoma;mds_mpn;myeloma,1,conditions
NCT06252662,breast,Breast,,breast,0,conditions
NCT07194980,leukemia,Leukemia,,leukemia,0,conditions
NCT05287568,leukemia,Leukemia,,leukemia,0,conditions
NCT01766297,breast,Breast,,breast,0,conditions
NCT06707610,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT06203210,lung,Lung & thoracic,,lung,0,conditions
NCT03786796,kidney,Kidney,,kidney,0,conditions
NCT04808323,colorectal,Colorectal,,colorectal,0,conditions
NCT03564340,gynecologic,"Gynecologic (ovarian, uterine, cervical)",,gynecologic,0,conditions
NCT04693468,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT06299891,multi,Multiple cancer types / basket or umbrella,multiple named cancers,brain_cns;head_neck,0,conditions
NCT05074290,breast,Breast,,breast,0,conditions
NCT05735080,multi,Multiple cancer types / basket or umbrella,multiple named cancers,breast;gynecologic,1,conditions
NCT06285890,leukemia,Leukemia,,leukemia,0,conditions
NCT04511013,melanoma_skin,Melanoma & skin,,melanoma_skin,1,conditions
NCT06805617,head_neck,Head & neck,,head_neck,0,conditions
NCT07060989,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT03081910,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;lymphoma,0,conditions
NCT04337580,prostate,Prostate,,prostate,1,conditions
NCT04660760,gastric_esophageal,Gastric & esophageal,,gastric_esophageal,0,conditions
NCT05079282,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT06225310,myeloma,Myeloma & plasma cell,,myeloma,0,conditions
NCT06589440,colorectal,Colorectal,,colorectal,0,conditions
NCT06350318,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT05464810,breast,Breast,,breast,0,conditions
NCT05748197,leukemia,Leukemia,,leukemia,0,conditions
NCT05436418,leukemia,Leukemia,,leukemia,0,title/keywords
NCT06616597,prostate,Prostate,,prostate,0,conditions
NCT07226713,prostate,Prostate,,prostate,0,conditions
NCT04953897,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;mds_mpn,0,conditions
NCT07489976,liver_biliary,Liver & biliary,,liver_biliary,0,title/keywords
NCT05442515,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;lymphoma,0,conditions
NCT06366347,gynecologic,"Gynecologic (ovarian, uterine, cervical)",,gynecologic,0,conditions
NCT06637306,breast,Breast,,breast,0,conditions
NCT03150693,leukemia,Leukemia,,leukemia,0,conditions
NCT06994806,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
